"","jeppe","reinhardt","harry","christian","guillaime","sp","nasdaq"
"jeppe",1,0.705317933233065,0.853369638164925,0.197000192627917,0.646065272438494,0.656114758223529,0.66647838839307
"reinhardt",0.705317933233065,1,0.711251225677261,0.256498253638138,0.717994006136023,0.771806749442074,0.890898879239701
"harry",0.853369638164925,0.711251225677261,1,0.155134670893649,0.618977148878887,0.615024700667621,0.688026201900117
"christian",0.197000192627917,0.256498253638138,0.155134670893649,1,0.287274708086252,0.32221492776922,0.341087393184887
"guillaime",0.646065272438494,0.717994006136023,0.618977148878887,0.287274708086252,1,0.655887794470247,0.716369286530454
"sp",0.656114758223529,0.771806749442074,0.615024700667621,0.32221492776922,0.655887794470247,1,0.950054265417033
"nasdaq",0.66647838839307,0.890898879239701,0.688026201900117,0.341087393184887,0.716369286530454,0.950054265417033,1
